authors_name,context
bryant,said king majesty knows said chief dancer woodpecker came sounded dance danced trod otter children send woodpecker said king solomon woodpecker came said sounded yes majesty said woodpecker said king majesty knows said woodpecker chief beater sounded gong saw great lizard wearing sword send great lizard said king solomon great lizard came asked wearing sword yes majesty said great lizard said king majesty knows said great lizard chief protector sword wore sword tortoise came wearing coat mail tortoise sent wear coat mail said king put majesty said tortoise saw trailing pike sent trailing pike said king solomon majesty said saw
bryant,sounds gladness filled air twas plain st nicholas rushed piccola sweet half wild never seen joyful child see good saint brought cried mother father must peep inside story ever heard little shivering bird sparrow window flew crept piccola tiny shoe good poor piccola must cried happy queen starving sparrow fed warmed danced rapture charmed children story tell piccola sweet bird true land france say still live day little fir tree little girl one probably mother read hans christian andersen story little fir tree happened read hear childhood one christmas day grown found loss one story called little children spending holiday
bryant,ill weary could bring families race would dwindle away spite work suffering israelites remained strong boys grew make king afraid wicked thing ordered soldiers kill every boy baby born israelitish family care girls could grow fight soon wicked order boy baby born certain israelitish family mother first looked heart nearly broken even beautiful babies strong fair sweet boy could save death somehow contrived keep hidden three whole months end time saw would possible keep safe longer thinking time carried plan first took basket made bulrushes daubed pitch laid baby carried edge river laid flags river brink show unless one quite
bryant,would say word would much move mouth grateful ducks brought strong little stick took hold ends tortoise bit firmly middle two ducks rose slowly air flew away burden treetops tortoise wanted say high remembered kept still passed church steeple wanted say shines remembered held peace came village square people looked saw look ducks carrying tortoise shouted every one ran look tortoise wanted say business heard people shout strange look look tortoise forgot everything except wanted say hush foolish people opened mouth fell ground end tortoise good thing able hold one tongue robert sicily old legend says king named robert sicily
bryant,time david father longed much hear know safe sent david fields said take thy brothers ephah parched corn ten loaves run camp thy brothers carry ten cheeses captain thousand see thy brothers fare bring word ephah three pecks david rose early morning left sheep keeper took corn loaves cheeses father commanded went camp israelites camp stood mountain one side philistines stood mountain side valley david came place israelites host going forth fight shouting battle left gifts hands keeper baggage ran army amongst soldiers find brothers found saluted began talk asking questions father commanded arose great shouting tumult among israelites men
bryant,letter addressed christ child may sure postman puzzled letter sorted heap perhaps burgomaster would know right thing postman took letter great burly man lived big house wore gold chain round neck burgomaster opened envelope read letter written trembling hand child tears came eyes spoke gruffly enough postman must foolish boy small one doubt soon christmas morning dawned gottlieb woke early others surprise saw strange gentleman mother wondering eyes soon perceived unusual objects hearth piled wood table loaded food dainties never even imagined gottlieb entered room mother threw stranger feet bless generous goodness widow orphan nay give thanks worthy dame said
bryant,work hard helped could housework nothing could really help tired mother except money needed money food clothes someone grown help house never enough money things louisa mother grew weary sometimes ill tell much louisa suffered last louisa thought came care helping mother father sisters anything else world began work hard earn money sewed people little older taught little girls lessons wrote stories papers every bit money earned except use gave dear family helped much little louisa never felt anything every year grew unselfish every year worked harder liked writing stories best work get much money people told wasting time last
bryant,lunch traveller pouch ate comfortably felt drowsy heat early ride pulled hat eyes settled nap go better little rest said sleep slept like seven sleepers dreamed beautiful things could imagine last dreamed entered castle fortune received great festivities everything wanted brought music played fireworks set honour music loud awoke sat rubbing eyes behold fireworks last rays setting sun music voice traveller passing grove foot time said lazy man looked pretty horse horse found living thing near old bony grey donkey man called whistled looked little horse appeared long gave since nothing better mounted old grey donkey set donkey slow hard
bryant,white shining hair wore wreath white roses fairy candide said prince promised father would best friend long live shall watch happiness brought gift wonderful look wonderful power welfare wear let help spoke placed small gold ring prince little finger ring said help good evil prick remind heed warnings worse thing happen shall become enemy vanished prince cherry wore ring said nothing anyone gift prick long time good merry happy prince cherry rather spoiled nurse child always said become king could exactly pleased began find true made angry first time noticed even king could always way day went hunting happened got
bryant,go hide whenever people come fetch mill kiln wo see tire work indeed said tailor welcome brought spade shovel made hole asked old white horse go could see would fit white horse went hole tried come able make place said white horse come hole whenever hungry said tailor remain come back lift tailor went forward next day fox met god save said fox god save said tailor going said fox going dublin try make court king would make place hide said fox rest foxes always beating allow eat anything said tailor took axe saw made thing like crate told fox
